en_term_processed;en_definition_processed;ru_term_processed;ru_definition_processed
180;straight angl equival half rotat 360 form straight line;180;развернут угол равн половин полн оборот 360  образ прям лин
90;right angl exactli onequart rotat 360 measur 90 degre;90;прям угол равн четверт полн оборот 360  составля 90 градус
priori probabl;probabl event deriv logic reason prior knowledg empir data;априорн вероятн;вероятн событ выведен логическ рассужден предварительн знан эмпирическ
a2 system;classif system molecular symmetri denot specif point group chemistri molecul twofold rotat axi symmetri element;систем a2;систем классификац молекулярн симметр обознача определен точечн групп хим молекул имеют двукратн о вращен отсутств элемент симметр
abbe refractomet equat;equat relat refract index substanc critic angl refract abbe refractomet measur refract indic accur;уравнен рефрактометр абб;уравнен связыва показател преломлен веществ критическ угл преломлен используем рефрактометр абб точн измерен показател преломлен
absolut entropi;entropi substanc given temperatur calcul rel perfect crystal absolut zero entropi zero provid refer thermodynam calcul;абсолютн энтроп;энтроп веществ зада температур рассчита относительн идеальн кристалл абсолютн нул энтроп равн нул использ эталон термодинамическ расчет
absolut temperatur scale;temperatur scale measur temperatur rel absolut zero theoret lowest possibl temperatur thermal motion ceas kelvin scale commonli absolut temperatur scale scientif context;абсолютн температурн шкал;температурн шкал измеря температур относительн абсолютн нул теоретическ минимальн температур прекраща теплов движен шкал кельвин распространен абсолютн шкал наук
absolut zero;lowest possibl temperatur theoret motion particl constitut heat minim defin 0 k kelvin scale equival 27315 ° c 45967 ° f;абсолютн нул;наименьш возможн температур теплов движен частиц минимальн равн 0 k шкал кельвин соответств 27315 ° c 45967 ° f
absorb;logarithm measur light absorb sampl specif wavelength defin log10 t t transmitt sampl commonli spectroscopi quantifi concentr solut solut beerlambert law;оптическ плотност;логарифмическ мер количеств свет поглоща образц определен длин волн определя a log10 t t пропускан образц широк использ спектроскоп количествен определен концентрац растворен веществ помощ закон бугераламбертабер
absorpt;process atom molecul ion enter bulk phase ga liquid solid taken volum distinct adsorpt occur surfac chemistri refer uptak substanc liquid solid;абсорбц;процесс атом молекул ион проника обь фаз газ жидкост тверд тел поглоща отлич адсорбц происходя поверхн хим означа поглощен веществ жидкост тверд тел
absorpt coeffici;measur light radiat absorb materi unit distanc typic express unit invers length eg cm⁻¹ quantifi attenu intens electromagnet wave pass medium;коэффициент поглощен;мер свет друг излучен поглоща материал единиц расстоян выража единиц обратн длин см⁻¹ количествен характериз ослаблен интенсивн электромагнитн волн прохожден сред
absorpt intens;measur light absorb substanc specif wavelength determin concentr spectroscopi;интенсивн поглощен;мер количеств свет поглоща веществ определен длин волн используем определен концентрац спектроскоп
absorpt spectra;graph show light absorb substanc differ wavelength identifi quantifi materi uniqu absorpt pattern;спектр поглощен;график показыва количеств свет поглоща веществ разн длин волн используем идентификац количествен анализ материал уникальн спектр поглощен
absorpt spectroscopi;techniqu measur absorpt electromagnet radiat substanc function wavelength identifi quantifi chemic speci;абсорбцион спектроскоп;метод измеря поглощен электромагнитн излучен веществ зависим длин волн используем идентификац количествен определен химическ соединен
absorpt spectrum;graph show light absorb substanc differ wavelength identifi studi electron molecular structur materi;спектр поглощен;график показыва количеств свет поглоща веществ разн длин волн используем изучен электрон молекулярн структур материал
abstract;process simplifi complex system focus main featur ignor relev detail model theoret framework;абстракц;процесс упрощен сложн сист пут концентрац основн характеристик игнорирован значим детал используем моделирован теоретическ подход
abundantspin speci;nuclear spin state higher popul nmr typic lowerenergi state magnet field lead net magnet;избыточн спинов вид;ядерн спинов состоян больш населен ямр состоян меньш энерг магнитн пол созда чист намагничен
